,temp,location,clouds,pressure,rain,time_stamp,humidity,wind
0,42.42,Back Bay,1.0,1012.14,0.1228,1680174000,0.77,11.25
1,42.43,Beacon Hill,1.0,1012.15,0.1846,1680174000,0.76,11.32
2,42.5,Boston University,1.0,1012.15,0.1089,1680174000,0.76,11.07
3,42.11,Fenway,1.0,1012.13,0.0969,1680174000,0.77,11.09
4,43.13,Financial District,1.0,1012.14,0.1786,1680174000,0.75,11.49
5,42.34,Haymarket Square,1.0,1012.15,0.2068,1680174000,0.77,11.49
6,42.36,North End,1.0,1012.15,0.2088,1680174000,0.77,11.46
7,42.21,North Station,1.0,1012.16,0.2069,1680174000,0.77,11.37
8,42.07,Northeastern University,1.0,1012.12,0.102,1680174000,0.78,11.28
9,43.05,South Station,1.0,1012.12,0.1547,1680174000,0.75,11.58
10,42.09,Theatre District,1.0,1012.13,0.1428,1680174000,0.78,11.41
11,43.28,Back Bay,0.81,990.81,0.0,1680163200,0.71,8.3
12,43.27,Beacon Hill,0.8,990.8,0.0,1680163200,0.71,8.3
13,43.35,Boston University,0.82,990.82,0.0,1680163200,0.71,8.24
14,43.07,Fenway,0.82,990.82,0.0,1680163200,0.72,8.28
15,43.35,Financial District,0.8,990.8,0.0,1680163200,0.71,8.35
16,43.2,Haymarket Square,0.8,990.79,0.0,1680163200,0.71,8.31
17,43.24,North End,0.8,990.79,0.0,1680163200,0.71,8.32
18,41.95,North Station,0.81,991.63,0.0,1680163200,0.73,10.87
19,43.05,Northeastern University,0.81,990.82,0.0,1680163200,0.72,8.31
20,43.31,South Station,0.8,990.8,0.0023,1680163200,0.71,8.36
21,43.05,Theatre District,0.8,990.8,0.0,1680163200,0.72,8.34
22,41.89,West End,0.81,991.64,0.0,1680163200,0.74,10.88
23,43.92,North Station,1.0,1006.29,0.0409,1680159600,0.9,10.09
24,43.87,Northeastern University,1.0,1006.24,0.0284,1680159600,0.91,9.74
25,39.23,Back Bay,0.83,996.09,0.0,1680163200,0.66,10.67
26,39.18,Beacon Hill,0.83,996.08,0.0,1680163200,0.67,10.69
27,39.23,Boston University,0.83,996.11,0.0,1680163200,0.66,10.53
28,39.1,Fenway,0.83,996.11,0.0,1680163200,0.67,10.59
29,39.56,Financial District,0.83,996.07,0.0,1680163200,0.66,10.79
30,39.18,Haymarket Square,0.83,996.07,0.0,1680163200,0.66,10.73
31,39.21,North End,0.82,996.07,0.0,1680163200,0.66,10.75
32,39.1,Northeastern University,0.83,996.1,0.0,1680163200,0.67,10.66
33,39.54,South Station,0.83,996.08,0.0,1680163200,0.66,10.8
34,39.1,Theatre District,0.83,996.08,0.0,1680163200,0.67,10.75
35,39.1,West End,0.83,996.07,0.0,1680163200,0.67,10.69
36,27.27,Back Bay,0.15,1033.4,0.0,1680174000,0.8,2.96
37,27.27,Beacon Hill,0.15,1033.4,0.0,1680174000,0.81,2.99
38,27.07,Boston University,0.15,1033.4,0.0,1680174000,0.8,2.84
39,26.88,Fenway,0.15,1033.4,0.0,1680174000,0.81,2.88
40,27.26,Financial District,0.15,1033.4,0.0,1680174000,0.81,3.07
41,27.34,Haymarket Square,0.15,1033.4,0.0,1680174000,0.81,3.04
42,27.43,North End,0.15,1033.4,0.0,1680174000,0.81,3.05
43,27.22,North Station,0.15,1033.4,0.0,1680174000,0.81,3.01
44,26.93,Northeastern University,0.16,1033.4,0.0,1680174000,0.81,2.94
45,27.17,South Station,0.15,1033.4,0.0,1680174000,0.81,3.07
46,27.03,Theatre District,0.15,1033.4,0.0,1680174000,0.82,3.03
47,45.49,Back Bay,1.0,1012.46,0.0,1680159600,0.86,6.47
48,45.42,Beacon Hill,1.0,1012.47,0.0,1680159600,0.86,6.48
49,45.55,Boston University,1.0,1012.46,0.0,1680159600,0.85,6.43
50,45.64,Fenway,1.0,1012.46,0.0,1680159600,0.85,6.44
51,45.54,Financial District,1.0,1012.47,0.0,1680159600,0.85,6.5
52,45.42,Haymarket Square,1.0,1012.47,0.0,1680159600,0.86,6.5
53,45.43,North End,1.0,1012.47,0.0,1680159600,0.86,6.51
54,45.47,North Station,1.0,1012.47,0.0,1680159600,0.86,6.5
55,45.69,Northeastern University,1.0,1012.46,0.0,1680159600,0.85,6.46
56,45.61,South Station,1.0,1012.47,0.0,1680159600,0.85,6.5
57,45.55,Theatre District,1.0,1012.47,0.0,1680159600,0.85,6.49
58,45.46,West End,1.0,1012.47,0.0,1680159600,0.86,6.49
59,45.52,South Station,0.89,1000.08,0.0,1680170400,0.95,1.39
